chat_id,analysis_type,ground_truth,prediction,is_correct,explanation
90001,sentiment,Pozitif,Pozitif,True,Kullanıcı eksik ürün bildirdi ve sorun çözüldü; müşteri teşekkür etti → olumlu sonuç.
90002,sentiment,Negatif,Negatif,True,Müşteri hesabına giriş yapamıyor ve şifresini unuttu. Şifre sıfırlama linki gelmiyor; spam klasörünü kontrol etti ancak sorun çözülmemiş durumda. 'Bu durum çok can sıkıcı' ifadesiyle memnuniyetsizliğini dile getiriyor. Bu durumda negatif sentiment.
90003,sentiment,Nötr,Nötr,True,Müşteri iade süreci hakkında bilgi talep etti ve bilgi alındı; teşekkür etti ancak sorun çözümü ya da memnuniyet ifadesi yok. Sadece bilgi paylaşımı ve rutin bir soru-cevap oldu.
90004,sentiment,Negatif,Negatif,True,"Müşteri kuponun çalışmaması nedeniyle öfke/hayal kırıklığı ifade ediyor. Çözüm sağlanamadı ve müşteri hizmetini eleştiriyor ('Hiç yardımcı olmuyorsunuz'), zaman kaybı olduğundan durum negatif olarak değerlendiriliyor."
90005,sentiment,Pozitif,Pozitif,True,"Müşteri siparişini iptal ettirmek istedi ve sorun çözüldü; iade süreci başlatılacak olarak bilgilendirildi. Müşteri memnuniyetini gösteren teşekkür etti, bu nedenle pozitif sentiment."
90006,sentiment,Nötr,Pozitif,False,İade kargosu için bilgi verildi (2 gün içinde ulaşacağı belirtildi) ve sorun çözüldü; kullanıcı teşekkür etti. Bu nedenle memnuniyet içeren pozitif bir geri bildirim olarak değerlendirildi.
90007,sentiment,Negatif,Negatif,True,Müşteri defolu ürün nedeniyle değişim/iade talep ediyor ancak fotoğraf kanıtı gerekliliğinden dolayı sürecin kendisine uygun olmadığını belirtiyor ve 'Bu çok saçma!' diyerek hayal kırıklığını ifade ediyor. Sorun şu an çözülmedi ve müşteri memnuniyetsiz.
90008,sentiment,Nötr,Nötr,True,Kullanıcı üyelik bilgilerini güncelleme konusunda bilgi aldı ve teşekkür etti. Ancak sorun çözümü veya memnuniyet ifadesi içermiyor; yalnızca bilgi paylaşımı yönlendirmesiyle devam eden rutin bir etkileşim.
90009,sentiment,Pozitif,Pozitif,True,"Müşteri faturadaki hatayı bildirdi; bot hatayı düzelterek yeni faturayı göndereceğini söyledi ve özür diledi. Sonrasında müşteri 'Çok teşekkürler, çok iyi oldu bu.' diyerek memnuniyet ifade etti. Sorun çözüldü ve olumlu geri bildirim verildi."
90010,sentiment,Negatif,Negatif,True,"Müşteri, siparişini iptal etmek istiyor fakat sistemde iptal butonu yok ve çözüm olarak iade sürecine yönlendiriliyor; sipariş kargoya verildiği için iptal mümkün değil ve müşteri çözüm bulamamış durumda. Sonuç olarak, hizmeti 'çok kötü bir hizmet' şeklinde eleştiriyor; sorun çözülmüş gibi görünmüyor. Bu nedenle negatif sentiment."
90011,sentiment,Nötr,Nötr,True,"Müşteri stok durumu hakkında bilgi talep etti; stokta görünmüyor ve gelecek için net bir tarih verilmedi. Bilgi alındı ve müşteri teşekkür etti, ancak sorun çözülmedi ve memnuniyet ifadeleri yalnızca bilgi alma durumuyla sınırlı. Bu nedenle durum Nötr."
90012,sentiment,Negatif,Negatif,True,"Müşteri iki kez çekime ilişkin sorunu bildiriyor ve banka ekstresi veremediği için çözüm bulunmuyor. Uygulama çalışmıyor, müşteri botun faydasız olduğunu belirtiyor ve müşteri temsilcisi talep ediyor; bu, öfke/hayat kırıklığı içerir ve sorun çözüldüğü gözükmüyor. Bu durumda Negatif olarak sınıflandırılır."
90013,sentiment,Nötr,Pozitif,False,"Müşteri siparişinin hazırlanıyor olmasıyla ilgili sorun bildirdi; bot bugün kargoya verileceğini söyledi ve takip numarası gelecekti. Sonuç olarak sorun çözüldü ve müşteri teşekkür etti ('Tamam, çok sağolun')."
