chat_id,predicted_resolution,explanation,confidence,raw_response,ground_truth,analysis_type,is_correct
90001,Çözüldü,"Siparişte eksik ürün olduğu tespit edildi. Bot, hatadan dolayı yeni ürünün en kısa sürede gönderileceğini belirtti ve özür diledi. Müşteri teşekkür etti, memnun olduğu ifade edildi. Bu durumda çözüm olarak değerlendiriliyor.",Yüksek,"{'status': 'Çözüldü', 'explanation': 'Siparişte eksik ürün olduğu tespit edildi. Bot, hatadan dolayı yeni ürünün en kısa sürede gönderileceğini belirtti ve özür diledi. Müşteri teşekkür etti, memnun olduğu ifade edildi. Bu durumda çözüm olarak değerlendiriliyor.', 'confidence': 'Yüksek'}",Çözüldü,resolution,True
90002,Çözülemedi,"Görülen durumda müşteri hâlâ hesabına giriş yapamıyor ve şifre sıfırlama linki gelmiyor. Şu ana kadar sadece e-posta linki gönderilmesi ve spam klasörü kontrolü gibi belirsiz yanıtlar verildi; alternatif bir çözüm (örneğin manuel sıfırlama, farklı iletişim kanalıyla doğrulama) sunulmadı. Sorun çözülmedi ve müşteri şikayeti devam ediyor.",Yüksek,"{'status': 'Çözülemedi', 'explanation': 'Görülen durumda müşteri hâlâ hesabına giriş yapamıyor ve şifre sıfırlama linki gelmiyor. Şu ana kadar sadece e-posta linki gönderilmesi ve spam klasörü kontrolü gibi belirsiz yanıtlar verildi; alternatif bir çözüm (örneğin manuel sıfırlama, farklı iletişim kanalıyla doğrulama) sunulmadı. Sorun çözülmedi ve müşteri şikayeti devam ediyor.', 'confidence': 'Yüksek'}",Çözülemedi,resolution,True
90003,Çözüldü,"İade süreciyle ilgili bilgi verildi: iade süresi 14 gün, ürünü orijinal paketiyle iade etmek ve iade kodunu oluşturmak için sipariş numarasını almak gerektiği belirtildi. Müşteri 'Anladım, teşekkürler' dedi. Bilgi verme eylemi çözümdür ve müşteri memnuniyet ifadesiyle birlikte çözüm olarak kaydedildi.",Yüksek,"{'status': 'Çözüldü', 'explanation': ""İade süreciyle ilgili bilgi verildi: iade süresi 14 gün, ürünü orijinal paketiyle iade etmek ve iade kodunu oluşturmak için sipariş numarasını almak gerektiği belirtildi. Müşteri 'Anladım, teşekkürler' dedi. Bilgi verme eylemi çözümdür ve müşteri memnuniyet ifadesiyle birlikte çözüm olarak kaydedildi."", 'confidence': 'Yüksek'}",Çözüldü,resolution,True
90004,Çözülemedi,"Müşteri, Hoş Geldin15 kuponunun çalışmadığını belirtti. Bot, kuponun geçerliliğini kontrol etmesini ve tarayıcı/önbellek temizlemeyi önerdi; müşteri bu adımları zaten uyguladığını söyledi. Sistem tarafında kuponla ilgili bir sorun görünmediği belirtildi ve daha ileri adım olarak sadece benzer öneriler sunuldu; ancak somut bir aksiyon (ör. kuponun manuel uygulanması, teknik inceleme açılması, müşteriye net çözüm sağlanması) alınmadı. Sonuç olarak sorun çözülmüş değil ve müşteri memnun değil. ",Yüksek,"{'status': 'Çözülemedi', 'explanation': 'Müşteri, Hoş Geldin15 kuponunun çalışmadığını belirtti. Bot, kuponun geçerliliğini kontrol etmesini ve tarayıcı/önbellek temizlemeyi önerdi; müşteri bu adımları zaten uyguladığını söyledi. Sistem tarafında kuponla ilgili bir sorun görünmediği belirtildi ve daha ileri adım olarak sadece benzer öneriler sunuldu; ancak somut bir aksiyon (ör. kuponun manuel uygulanması, teknik inceleme açılması, müşteriye net çözüm sağlanması) alınmadı. Sonuç olarak sorun çözülmüş değil ve müşteri memnun değil. ', 'confidence': 'Yüksek'}",Çözülemedi,resolution,True
90005,Çözüldü,"Müşterinin siparişi iptal edilmiştir. Sipariş numarası alındı ve iptal işlemi tamamlandı; iadenin en kısa sürede gerçekleştirileceği bilgisi verildi. Müşteri teşekkür etti, sorun çözüldü.",Yüksek,"{'status': 'Çözüldü', 'explanation': 'Müşterinin siparişi iptal edilmiştir. Sipariş numarası alındı ve iptal işlemi tamamlandı; iadenin en kısa sürede gerçekleştirileceği bilgisi verildi. Müşteri teşekkür etti, sorun çözüldü.', 'confidence': 'Yüksek'}",Çözüldü,resolution,True
90006,Çözüldü,"Müşteri iade takip kodunu paylaştı. Bot, iadenin 2 gün içinde elimize ulaşacağını bildirdi ve bu bilginin paylaşılması çözüme yol açtı; müşteri teşekkür etti.",Yüksek,"{'status': 'Çözüldü', 'explanation': 'Müşteri iade takip kodunu paylaştı. Bot, iadenin 2 gün içinde elimize ulaşacağını bildirdi ve bu bilginin paylaşılması çözüme yol açtı; müşteri teşekkür etti.', 'confidence': 'Yüksek'}",Çözüldü,resolution,True
90007,Çözülemedi,"Müşteri defolu ürün için iade/çevrim talep etti. Bot, defekt kanıtı için fotoğraf istedi. Müşteri fotoğraf çekemediğini belirtti ve alternatif yol olup olmadığını sordu; bot ise yalnızca fotoğraf gerektiğini belirtti ve alternatif bir çözüm sunmadı. Sonuç olarak müşteri memnuniyetsiz kaldı ve sorun hâlâ çözülmüş değil. Verilen bilgi (fotoğraf kanıtı gerektiği) çözüme katkıda bulunmuş olsa da, prosedür hakkında alternatif kanıt veya çözüm adımları sunulmadığı için durum çözülemedi.",Yüksek,"{'status': 'Çözülemedi', 'explanation': 'Müşteri defolu ürün için iade/çevrim talep etti. Bot, defekt kanıtı için fotoğraf istedi. Müşteri fotoğraf çekemediğini belirtti ve alternatif yol olup olmadığını sordu; bot ise yalnızca fotoğraf gerektiğini belirtti ve alternatif bir çözüm sunmadı. Sonuç olarak müşteri memnuniyetsiz kaldı ve sorun hâlâ çözülmüş değil. Verilen bilgi (fotoğraf kanıtı gerektiği) çözüme katkıda bulunmuş olsa da, prosedür hakkında alternatif kanıt veya çözüm adımları sunulmadığı için durum çözülemedi.', 'confidence': 'Yüksek'}",Çözülemedi,resolution,True
90008,Çözüldü,"Müşteri üyelik bilgilerini güncellemek istedi. Bot, hesabından 'Bilgilerimi Düzenle' ile bu işlemin gerçekleştirilebileceğini belirtti ve adım adım yol gösterdi. Bu bilgi verilmiş ve müşteri teşekkür etti + deneyeceğini söyledi. Bilgi verme çözüme katkıda bulundu.",Yüksek,"{'status': 'Çözüldü', 'explanation': ""Müşteri üyelik bilgilerini güncellemek istedi. Bot, hesabından 'Bilgilerimi Düzenle' ile bu işlemin gerçekleştirilebileceğini belirtti ve adım adım yol gösterdi. Bu bilgi verilmiş ve müşteri teşekkür etti + deneyeceğini söyledi. Bilgi verme çözüme katkıda bulundu."", 'confidence': 'Yüksek'}",Çözüldü,resolution,True
90009,Çözülemedi,"Müşteriye faturadaki hatayı düzelterek yeni faturayı e-posta ile göndereceği bilgisi verildi, ancak işlem hâlâ uygulanmadı. Müşteri teşekkür etti fakat çözüm fiilen tamamlanmadığı için durum çözülemedi olarak değerlendiriliyor.",Orta,"{'status': 'Çözülemedi', 'explanation': 'Müşteriye faturadaki hatayı düzelterek yeni faturayı e-posta ile göndereceği bilgisi verildi, ancak işlem hâlâ uygulanmadı. Müşteri teşekkür etti fakat çözüm fiilen tamamlanmadığı için durum çözülemedi olarak değerlendiriliyor.', 'confidence': 'Orta'}",Çözüldü,resolution,False
90010,Çözülemedi,Sipariş kargoya verildiği için iptal seçeneği görünmüyor; bot iade süreciyle devam etmeniz gerektiğini bildirdi. Ancak müşteri hala iptal talebinin karşılanmasını bekliyor ve konu çözülmüş değil; somut bir aksiyon (iptal/geri ödeme) şu anda uygulanmadı. Bu nedenle durum çözümlenmedi.,Yüksek,"{'status': 'Çözülemedi', 'explanation': 'Sipariş kargoya verildiği için iptal seçeneği görünmüyor; bot iade süreciyle devam etmeniz gerektiğini bildirdi. Ancak müşteri hala iptal talebinin karşılanmasını bekliyor ve konu çözülmüş değil; somut bir aksiyon (iptal/geri ödeme) şu anda uygulanmadı. Bu nedenle durum çözümlenmedi.', 'confidence': 'Yüksek'}",Çözülemedi,resolution,True
90011,Çözüldü,Müşteriye AB-456 için stok yenileme tarihi belirlenmediği bilgisini verdim ve müşteri teşekkür etti. Bilgilendirme tatmin edici oldu ve müşteri sorunu çözüldü olarak değerlendirildi.,Yüksek,"{'status': 'Çözüldü', 'explanation': 'Müşteriye AB-456 için stok yenileme tarihi belirlenmediği bilgisini verdim ve müşteri teşekkür etti. Bilgilendirme tatmin edici oldu ve müşteri sorunu çözüldü olarak değerlendirildi.', 'confidence': 'Yüksek'}",Çözüldü,resolution,True
90012,Çözülemedi,"Müşteri iki kez çekim yapıldığını bildirdi ancak şu ana kadar herhangi bir aksiyon alınmadı. Banka ekstresi veya kanıt şu an için üçüncü parti nedeni ile temin edilemedi (telefon uygulaması çalışmıyor). Müşteri canlı temsilciyle bağlantı kurulmasını ve çözüm talep etti; ancak bot şu aşamada yönlendirme veya alternatif doğrulama/kanıt toplama adımı yapmadı. Çözüm için acilen bir canlı temsilciye yönlendirme ve işlem incelemesi, gerekli bilgilerin (sipariş numarası, işlem tarihi/saat, kartın son 4 hanesi veya alternatif kanıt) toplanması gerekir.",Yüksek,"{'status': 'Çözülemedi', 'explanation': 'Müşteri iki kez çekim yapıldığını bildirdi ancak şu ana kadar herhangi bir aksiyon alınmadı. Banka ekstresi veya kanıt şu an için üçüncü parti nedeni ile temin edilemedi (telefon uygulaması çalışmıyor). Müşteri canlı temsilciyle bağlantı kurulmasını ve çözüm talep etti; ancak bot şu aşamada yönlendirme veya alternatif doğrulama/kanıt toplama adımı yapmadı. Çözüm için acilen bir canlı temsilciye yönlendirme ve işlem incelemesi, gerekli bilgilerin (sipariş numarası, işlem tarihi/saat, kartın son 4 hanesi veya alternatif kanıt) toplanması gerekir.', 'confidence': 'Yüksek'}",Çözülemedi,resolution,True
