chat_id,predicted_sentiment,explanation,raw_response,ground_truth,analysis_type,is_correct
90001,Pozitif,Kullanıcı eksik ürün bildirdi ve sorun çözüldü; müşteri teşekkür etti → olumlu sonuç.,"{'sentiment': 'Pozitif', 'explanation': 'Kullanıcı eksik ürün bildirdi ve sorun çözüldü; müşteri teşekkür etti → olumlu sonuç.'}",Pozitif,sentiment,True
90002,Negatif,Müşteri hesabına giriş yapamıyor ve şifresini unuttu. Şifre sıfırlama linki gelmiyor; spam klasörünü kontrol etti ancak sorun çözülmemiş durumda. 'Bu durum çok can sıkıcı' ifadesiyle memnuniyetsizliğini dile getiriyor. Bu durumda negatif sentiment.,"{'sentiment': 'Negatif', 'explanation': ""Müşteri hesabına giriş yapamıyor ve şifresini unuttu. Şifre sıfırlama linki gelmiyor; spam klasörünü kontrol etti ancak sorun çözülmemiş durumda. 'Bu durum çok can sıkıcı' ifadesiyle memnuniyetsizliğini dile getiriyor. Bu durumda negatif sentiment.""}",Negatif,sentiment,True
90003,Nötr,Müşteri iade süreci hakkında bilgi talep etti ve bilgi alındı; teşekkür etti ancak sorun çözümü ya da memnuniyet ifadesi yok. Sadece bilgi paylaşımı ve rutin bir soru-cevap oldu.,"{'sentiment': 'Nötr', 'explanation': 'Müşteri iade süreci hakkında bilgi talep etti ve bilgi alındı; teşekkür etti ancak sorun çözümü ya da memnuniyet ifadesi yok. Sadece bilgi paylaşımı ve rutin bir soru-cevap oldu.'}",Nötr,sentiment,True
90004,Negatif,"Müşteri kuponun çalışmaması nedeniyle öfke/hayal kırıklığı ifade ediyor. Çözüm sağlanamadı ve müşteri hizmetini eleştiriyor ('Hiç yardımcı olmuyorsunuz'), zaman kaybı olduğundan durum negatif olarak değerlendiriliyor.","{'sentiment': 'Negatif', 'explanation': ""Müşteri kuponun çalışmaması nedeniyle öfke/hayal kırıklığı ifade ediyor. Çözüm sağlanamadı ve müşteri hizmetini eleştiriyor ('Hiç yardımcı olmuyorsunuz'), zaman kaybı olduğundan durum negatif olarak değerlendiriliyor.""}",Negatif,sentiment,True
90005,Pozitif,"Müşteri siparişini iptal ettirmek istedi ve sorun çözüldü; iade süreci başlatılacak olarak bilgilendirildi. Müşteri memnuniyetini gösteren teşekkür etti, bu nedenle pozitif sentiment.","{'sentiment': 'Pozitif', 'explanation': 'Müşteri siparişini iptal ettirmek istedi ve sorun çözüldü; iade süreci başlatılacak olarak bilgilendirildi. Müşteri memnuniyetini gösteren teşekkür etti, bu nedenle pozitif sentiment.'}",Pozitif,sentiment,True
90006,Pozitif,İade kargosu için bilgi verildi (2 gün içinde ulaşacağı belirtildi) ve sorun çözüldü; kullanıcı teşekkür etti. Bu nedenle memnuniyet içeren pozitif bir geri bildirim olarak değerlendirildi.,"{'sentiment': 'Pozitif', 'explanation': 'İade kargosu için bilgi verildi (2 gün içinde ulaşacağı belirtildi) ve sorun çözüldü; kullanıcı teşekkür etti. Bu nedenle memnuniyet içeren pozitif bir geri bildirim olarak değerlendirildi.'}",Nötr,sentiment,False
90007,Negatif,Müşteri defolu ürün nedeniyle değişim/iade talep ediyor ancak fotoğraf kanıtı gerekliliğinden dolayı sürecin kendisine uygun olmadığını belirtiyor ve 'Bu çok saçma!' diyerek hayal kırıklığını ifade ediyor. Sorun şu an çözülmedi ve müşteri memnuniyetsiz.,"{'sentiment': 'Negatif', 'explanation': ""Müşteri defolu ürün nedeniyle değişim/iade talep ediyor ancak fotoğraf kanıtı gerekliliğinden dolayı sürecin kendisine uygun olmadığını belirtiyor ve 'Bu çok saçma!' diyerek hayal kırıklığını ifade ediyor. Sorun şu an çözülmedi ve müşteri memnuniyetsiz.""}",Negatif,sentiment,True
90008,Nötr,Kullanıcı üyelik bilgilerini güncelleme konusunda bilgi aldı ve teşekkür etti. Ancak sorun çözümü veya memnuniyet ifadesi içermiyor; yalnızca bilgi paylaşımı yönlendirmesiyle devam eden rutin bir etkileşim.,"{'sentiment': 'Nötr', 'explanation': 'Kullanıcı üyelik bilgilerini güncelleme konusunda bilgi aldı ve teşekkür etti. Ancak sorun çözümü veya memnuniyet ifadesi içermiyor; yalnızca bilgi paylaşımı yönlendirmesiyle devam eden rutin bir etkileşim.'}",Nötr,sentiment,True
90009,Pozitif,"Müşteri faturadaki hatayı bildirdi; bot hatayı düzelterek yeni faturayı göndereceğini söyledi ve özür diledi. Sonrasında müşteri 'Çok teşekkürler, çok iyi oldu bu.' diyerek memnuniyet ifade etti. Sorun çözüldü ve olumlu geri bildirim verildi.","{'sentiment': 'Pozitif', 'explanation': ""Müşteri faturadaki hatayı bildirdi; bot hatayı düzelterek yeni faturayı göndereceğini söyledi ve özür diledi. Sonrasında müşteri 'Çok teşekkürler, çok iyi oldu bu.' diyerek memnuniyet ifade etti. Sorun çözüldü ve olumlu geri bildirim verildi.""}",Pozitif,sentiment,True
90010,Negatif,"Müşteri, siparişini iptal etmek istiyor fakat sistemde iptal butonu yok ve çözüm olarak iade sürecine yönlendiriliyor; sipariş kargoya verildiği için iptal mümkün değil ve müşteri çözüm bulamamış durumda. Sonuç olarak, hizmeti 'çok kötü bir hizmet' şeklinde eleştiriyor; sorun çözülmüş gibi görünmüyor. Bu nedenle negatif sentiment.","{'sentiment': 'Negatif', 'explanation': ""Müşteri, siparişini iptal etmek istiyor fakat sistemde iptal butonu yok ve çözüm olarak iade sürecine yönlendiriliyor; sipariş kargoya verildiği için iptal mümkün değil ve müşteri çözüm bulamamış durumda. Sonuç olarak, hizmeti 'çok kötü bir hizmet' şeklinde eleştiriyor; sorun çözülmüş gibi görünmüyor. Bu nedenle negatif sentiment.""}",Negatif,sentiment,True
